title,agency,date
Attorney General Josh Stein Announces $2.45 Million Health Care Fraud Settlement,State of North Carolina,
Three Clermont Labs Agree To Pay $2.45 Million To Settle False Claims Act Liability For Manipulating Diagnosis Codes,"U.S. Attorney's Office, Middle District of Florida",
AG Moody’s Medicaid Fraud Control Unit Secures Half A Million Dollars For Florida Medicaid Program,State of Florida,
Pacific Toxicology Laboratories Agrees To Pay $1 Million To Resolve Allegations Of Fraudulent Billing,"U.S. Attorney's Office, District of Massachusetts",
Trussville Man Sentenced In Multi-Million-Dollar Health Care Fraud Case,"U.S. Attorney's Office, Northern District of Alabama",
Pharmacy Owner And Associate Sentenced For Health Care Fraud And Black Market Prescription Drug Diversion Scheme,U.S. Department of Justice,
Rite Aid Corporation And Affiliates Agree To Settle False Claims Act And Controlled Substance Act Allegations Related To Opioid Dispensing,U.S. Department of Justice,
Rite Aid Corporation And Elixir Insurance Company Agree To Pay $101M To Resolve Allegations Of Falsely Reporting Rebates,U.S. Department of Justice,
The Grand Health Care System And 12 Affiliated Skilled Nursing Facilities To Pay $21.3M For Allegedly Providing And Billing For Fraudulent Rehabilitation Therapy Services,"U.S. Department of Justice and U.S. Attorney's Office, Northern District of New York",
AG Nessel Charges Detroit Woman With Medicaid Fraud,State of Michigan,
Former Southeastern Connecticut Counselor Sentenced for Health Care Fraud and Kickback Offenses,"U.S. Attorney’s Office, District of Connecticut",
Investigation Into TennCare Fraud Results In Arrests In Memphis,State of Tennessee,
"Jefferson County Doctor, Staffers Accused of Conspiracy, Health Care Fraud","U.S. Attorney's Office, Eastern District of Missouri",
Illegal Alien and Two Others Sentenced to Federal Prison in Organ Transplant Scheme,"U.S. Attorney's Office, Northern District of Iowa",
Attorney General James Announces Arrest of Tompkins County Transportation Company Owner for Stealing Over $1 Million from Medicaid,State of New York,
Attorney General James Announces Indictment of Orange County Transportation Company for Stealing Over $2.3 Million from Medicaid,State of New York,
Sioux Falls Man And Woman Sentenced For Embezzlement And Theft From Indian Tribal Organization,"U.S. Attorney's Office, District of South Dakota",
Nine Individuals Charged In Middle District Of Florida In Connection With Health Care Fraud Schemes,"U.S. Attorney's Office, Middle District of Florida",
National Health Care Fraud Enforcement Action Results in 193 Defendants Charged and Over $2.75 Billion in False Claims - California,"U.S. Attorney's Office, Northern District of California",
Suburban Chicago Physician Pleads Guilty To Federal Health Care Fraud Charges,"U.S. Attorney's Office, Northern District of Illinois",
Former Senior Policy Advisor To Austin City Official Sentenced For Federal Conspiracy,"U.S. Attorney's Office, Western District of Texas",
Home Health Providers To Pay $4.5M To Resolve Alleged False Claims Act Liability For Providing Kickbacks To Assisted Living Facilities And Doctors,U.S. Department of Justice,
Attorney General Alan Wilson announces arrest of Easley woman accused of stealing from assisted living facility resident,State of South Carolina,
Seven Charged In Arizona As Part Of The Department Of Justice’s 2024 National Health Care Fraud Enforcement Action,"June 28, 2024: U.S. Attorney's Office, District of Arizona",
Tareen Dermatology Agrees To Pay More Than $1.6 Million To Resolve Alleged False Claims Act Violations,"U.S. Attorney's Office, District of Minnesota",
Researcher At University Of Montana Admits Falsifying Records In Federal Investigation,"U.S. Attorney’s Office, District of Montana",
Georgia Chiropractor Admits $14.9 Million Health Care Fraud And Kickback Scheme Related To Durable Medical Equipment And Cancer Genetic Testing,"U.S. Attorney's Office, District of New Jersey",
U.S. Attorney’s Office Announces Two Indictments of Health Care Fraud Related Charges,"U.S. Attorney's Office, Eastern District of Kentucky",
Three Baton Rouge Individuals Charged In Federal Court In Connection With The Department Of Justice’s 2024 National Health Care Fraud Enforcement Action,"U.S. Attorney's Office, Middle District of Louisiana",
Emergency Room Doctor Pleads Guilty To HIPAA Violation,"U.S. Attorney's Office, Northern District of Iowa",
West Monroe Man Charged In Federal Court In Connection With The Department Of Justice’s 2024 National Health Care Fraud Enforcement Action,"U.S. Attorney's Office, Western District of Louisiana",
Montclair Pharmacist Charged With Submitting Over $300 Million In Fraudulent Claims To Medi-Cal In Medication Reimbursement Scam,"U.S. Attorney's Office, Central District of California",
Bloomfield Man Pleads Guilty To Health Care Fraud Charge,"U.S. Attorney's Office, District of Connecticut",
Magellan Diagnostics Pleads Guilty To Criminal FDCA Charges,"U.S. Attorney's Office, District of Massachusetts",
Eastern District of Michigan Charges Six Individuals As Part Of National Health Care Fraud Takedown,"U.S. Attorney's Office, Eastern District of Michigan",
U.S. Attorney Breon Peace Announces 11 Arrests in National Health Care Fraud Enforcement Action,"U.S. Attorney's Office, Eastern District of New York",
Middle District Of Tennessee Charges Four Individuals Responsible For $15 Million In False Medicare Billing As Part Of National Health Care Fraud Takedown,"U.S. Attorney's Office, Middle District of Tennessee",
Madison Man Charged With Conspiracy To Defraud The United States As Part Of Department Of Justice’s 2024 National Health Care Fraud Enforcement Action,"U.S. Attorney's Office, Southern District of Mississippi",
Eight Charged Locally As Part Of National Health Care Fraud Enforcement Action,"U.S. Attorney's Office, Southern District of Texas",
U.S. Attorney Bennett Announces Participation in Coordinated National Health Care Fraud Enforcement Action,"U.S. Attorney's Office, Western District of Kentucky",
Kalamazoo Doctor Charged for Role in Telehealth Fraud Scheme,"U.S. Attorney's Office, Western District of Michigan",
National Health Care Fraud Enforcement Action Results in 193 Defendants Charged and Over $2.75 Billion in False Claims - Virginia,"U.S. Attorney's Office, Western District of Virginia",
National Health Care Fraud Enforcement Action Results in 193 Defendants Charged and Over $2.75 Billion in False Claims,U.S. Department of Justice,
Podiatrist Sentenced for $4M Foot Bath Fraud Scheme,U.S. Department of Justice,
Attorney General Mayes Highlights Participation In National Health Care Fraud Enforcement Action,State of Arizona,
Attorney General James Announces Indictments of Rensselaer and Orange County Medical Transport Companies for Stealing over $4.4 Million From Medicaid,State of New York,
U.S. Attorney Announces Settlement Of Civil Fraud Lawsuit Against VNS Health And Related Entities For Billing For Services They Failed To Provide Or Document,"U.S. Attorney’s Office, Southern District of New York",
"Former Panama City Doctor Agrees To $550,000 Consent Judgment To Resolve FCA and CSA Lawsuit","U.S. Attorney's Office, Northern District of Florida",
Houston Dental Clinic Operator Heads To Prison For Role In $6M Pediatric Fraud Scheme,"U.S. Attorney’s Office, Southern District of Texas",
Ingham County Nurse Charged With Falsifying Medical Records Connected To Resident Fall,State of Michigan,
Milford Woman Pleads Guilty To Theft Of Medicaid Funds,State of New Hampshire,
Pharmacy Owners Sentenced For $18M COVID-19 Health Care Fraud And Money Laundering Scheme,"U.S. Department of Justice and U.S. Attorney's Office, Eastern District of New York",
Texas Medical Center Institutions Agree To Pay $15M Record Settlement Involving Concurrent Billing Claims For Critical Surgeries,"U.S. Attorney's Office, Southern District of Texas",
Worcester Individual Indicted For Stealing From Rest Home And Residents,State of Massachusetts,
Attorney General Alan Wilson Announces Arrest Of Barnwell Woman For Stealing From Assisted Living Resident,State of South Carolina,
Attorney General Alan Wilson Announces Arrest Of Mount Pleasant Nurse Charged With Stealing Drugs,State of South Carolina,
"Provider Agrees To Pay Over $629,000 To Settle Allegations Of False Claims Act Violations","U.S. Attorney's Office, District of Maine",
Doctor Convicted Of Unlawful Distribution Of Controlled Substances,U.S. Department of Justice,
Waterbury Man Sentenced For Medicaid Fraud,State of Connecticut,
Attorney General Jackley Announces Rapid City Woman Sentenced For Grand Theft By Embezzlement,State of South Dakota,
Averhealth To Pay Over $1.3 Million To Resolve False Claims Act Allegations Related To Drug Tests Used In Michigan’s Children’s Protective Services & Foster Care Programs,"U.S. Attorney's Office, Eastern District of Michigan",
Tapestry Hospice Settles Healthcare Kickback Claims For $1.4 Million,"U.S. Attorney's Office, Northern District of Georgia",
Hospice Care Company Owner Sentenced On Health Care Fraud Charges,"U.S. Attorney's Office, Western District of Louisiana",
Co-owners of Rhode Island Health Care Centers Charged With Health Care Fraud,"U.S. Attorney's Office, District of Rhode Island",
Attorney General Ellison Charges Five With Stealing More Than $10M In Two Medicaid Fraud Prosecutions,State of Minnesota,
New Indictment Alleges Aaron Rossi Committed Fraud In COVID-19 Testing,"U.S. Attorney's Office, Central District of Illinois",
Northern Michigan Physician Assistant Charged With COVID-19 Pandemic Assistance Fraud,"U.S. Attorney's Office, Western District of Michigan",
Chicago Health Care Company And Its Former Owners To Pay Nearly $2 Million To Settle False Claims Act Lawsuit,"U.S. Attorney's Office, Northern District of Illinois",
Woman Pleads Guilty To COVID-19 Vaccine Card Fraud Scheme,"U.S. Department of Justice and U.S. Attorney's Office, Eastern District of New York",
New Hanover County Social Worker Sentenced To Prison For Conspiring To Defraud Medicaid,"U.S. Attorney's Office, Eastern District of North Carolina",
Worcester-Based Dentist And Practice Indicted In $2 Million Medicaid Fraud And Larceny Scheme,State of Massachusetts,
Attorney General Paxton’s Medicaid Fraud Control Unit Takes Down $70 Million Health Care Fraud Scheme,State of Texas,
"U.S. Attorney Announces Two Additional Civil Settlements As Part Of National Effort To Combat Electronic Stimulation Fraudulent Billing Scheme And Recover Millions, And Enforcement Action Of One Of The Settlements","U.S. Attorney's Office, Eastern District of Pennsylvania",
U.S. Attorney Files Civil Fraud Suit Against LabQ And Its CEO For Fraudulently Billing COVID-19 Testing,"U.S. Attorney's Office, Southern District of New York",
"Behavioral Health Companies, CEO, Pay Nearly $4.6 Million To Settle Allegations Related To Telehealth Services For Nursing Home Residents","U.S. Attorney's Office, District of Connecticut",
Former Nurse Sentenced For Adulteration Of Fentanyl,"U.S. Attorney's Office, District of Massachusetts",
Money Launderer Sentenced To 30 Months In Prison For Laundering Millions Of Dollars Of Health Care Fraud Proceeds,"U.S. Attorney's Office, Southern District of New York",
DOJ And Evergreen Treatment Services Settle Allegations Regarding Double Billing Of Government Health Programs,"U.S. Attorney's Office, Western District of Washington",
Founder/CEO And Clinical President Of Digital Health Company Arrested For $100M Adderall Distribution And Health Care Fraud Scheme,"U.S. Department of Justice and U.S. Attorney's Office, Northern District of California",
Pharmacy Owner Sentenced For $1M Health Care Fraud Scheme,U.S. Department of Justice,
United States Reaches $1.2 Million Civil Settlement With Festus Pain Management Doctor Over Allegations Of False Claims To Federal Health Care Programs,"U.S. Attorney's Office, Eastern District of Missouri",
Eight Defendants Charged With Multi-Million Dollar Health Care Fraud Scheme,"U.S. Attorney’s Office, Eastern District of New York",
Two Individuals Plead Guilty To Health Care Fraud Conspiracy,U.S. Attorney’s Office; Northern District of Alabama,
Pharmacist Convicted Of Unlawfully Dispensing Controlled Substances At Retrial,U.S. Department of Justice,
AG Campbell Announces $4 Million Settlement With Nursing Home Chain For Significant Staffing And Care Failures Resulting In Resident Neglect,State of Massachusetts,
CityMD Agrees To Pay Over $12M For Alleged False Claims To The COVID-19 Uninsured Program,U.S. Department of Justice,
Wellesley Psychiatrist Sentenced To Over Eight Years In Prison For $19 Million Insurance Fraud Scheme; Billed Insurance Companies For Thousands Of Services He Never Provided,"U.S. Attorney's Office, District of Massachusetts",
